date_time,region,tournament,matchday,league_href,begin_time,first_team,second_team,full_match_goals,half_match_goals,first_team_goals,second_team_goals,match_href
2023-09-19,UEFA,Youth Youth League 2023/2024,Group H,/schedule/a-junioren-youth-league-2023-2024-gruppe-h/0/,12:00,Shakhtar Donetsk,FC Porto,,,,,/report/a-junioren-youth-league-2023-2024-gruppe-h-shakhtar-donetsk-fc-porto/liveticker/
2023-09-19,UEFA,Youth Youth League 2023/2024,Group H,/schedule/a-junioren-youth-league-2023-2024-gruppe-h/0/,15:00,FC Barcelona,Royal Antwerp FC,,,,,/report/a-junioren-youth-league-2023-2024-gruppe-h-fc-barcelona-royal-antwerp-fc/liveticker/
2023-09-19,AFC,AFC Champions League 2023/2024,Group A,/schedule/afc-champions-league-2023-2024-gruppe-a/0/,15:00,Pakhtakor Tashkent,Al Ain FC,,,,,/report/afc-champions-league-2023-2024-gruppe-a-pakhtakor-tashkent-al-ain-fc/liveticker/
2023-09-19,AFC,AFC Champions League 2023/2024,Group A,/schedule/afc-champions-league-2023-2024-gruppe-a/0/,17:00,Ahal FK,Al Fayha,,,,,/report/afc-champions-league-2023-2024-gruppe-a-ahal-fk-al-fayha/liveticker/
2023-09-19,AFC,AFC Champions League 2023/2024,Group E,/schedule/afc-champions-league-2023-2024-gruppe-e/0/,17:00,FC Istiklol,Al Duhail SC,,,,,/report/afc-champions-league-2023-2024-gruppe-e-fc-istiklol-al-duhail-sc/liveticker/
2023-09-19,AFC,AFC Champions League 2023/2024,Group E,/schedule/afc-champions-league-2023-2024-gruppe-e/0/,19:00,Persepolis,Al Nassr,,,,,/report/afc-champions-league-2023-2024-gruppe-e-persepolis-al-nassr/liveticker/
2023-09-19,AFC,AFC Champions League 2023/2024,Group G,/schedule/afc-champions-league-2023-2024-gruppe-g/0/,11:00,Yokohama F. Marinos,Incheon United,,,,,/report/afc-champions-league-2023-2024-gruppe-g-yokohama-f-marinos-incheon-united/liveticker/
2023-09-19,AFC,AFC Champions League 2023/2024,Group G,/schedule/afc-champions-league-2023-2024-gruppe-g/0/,13:00,Kaya FC–Iloilo,Shandong Taishan,,,,,/report/afc-champions-league-2023-2024-gruppe-g-kaya-fc-iloilo-shandong-taishan/liveticker/
2023-09-19,AFC,AFC Champions League 2023/2024,Group I,/schedule/afc-champions-league-2023-2024-gruppe-i/0/,11:00,Ulsan Hyundai,BG Pathum United,,,,,/report/afc-champions-league-2023-2024-gruppe-i-ulsan-hyundai-bg-pathum-united/liveticker/
2023-09-19,AFC,AFC Champions League 2023/2024,Group I,/schedule/afc-champions-league-2023-2024-gruppe-i/0/,13:00,Johor Darul Ta’zim,Kawasaki Frontale,,,,,/report/afc-champions-league-2023-2024-gruppe-i-johor-darul-tazim-kawasaki-frontale/liveticker/
2023-09-19,AFC,AFC Cup 2023/2024,Group B,/schedule/afc-cup-2023-2024-gruppe-b/0/,17:00,Al Kahrabaa,Kuwait SC,,,,,
2023-09-19,AFC,AFC Cup 2023/2024,Group B,/schedule/afc-cup-2023-2024-gruppe-b/0/,19:00,Al Wehdat,Al Ittihad,,,,,
2023-09-19,AFC,AFC Cup 2023/2024,Group D,/schedule/afc-cup-2023-2024-gruppe-d/0/,11:00,Maziya S&RC,Bashundhara Kings,,,,,
2023-09-19,AFC,AFC Cup 2023/2024,Group D,/schedule/afc-cup-2023-2024-gruppe-d/0/,15:00,Odisha FC,Mohun Bagan Super Giant,,,,,
2023-09-19,AFC,U17 Women Asian Cup Qual. 2023,2nd Round Group A,/schedule/u17-d-championship-qual-2023-2-runde-gruppe-a/0/,10:30,South Korea,India,,,,,
2023-09-19,AFC,U17 Women Asian Cup Qual. 2023,2nd Round Group A,/schedule/u17-d-championship-qual-2023-2-runde-gruppe-a/0/,14:30,Thailand,Iran,,,,,
